img,box,obj,cls,loss
-15_-107,0.011321402,0.0044193566,0.0,0.01574076
0_-112_vh,0.012922935,0.0028173458,0.0,0.015740281
22_-110_v,0.010598281,0.005124089,0.0,0.01572237
19_-131_h,0.01451616,0.0012041202,0.0,0.01572028
-10_-118,0.010667581,0.00505172,0.0,0.015719302
2_-123_h,0.012960409,0.0027527323,0.0,0.01571314
-18_-113,0.009095177,0.0066141244,0.0,0.015709301
1_176_h,0.01098107,0.004727551,0.0,0.015708622
25_-126_h,0.013298729,0.0024041163,0.0,0.015702846
8_-96_vh,0.013082199,0.0026194607,0.0,0.015701659
8_-116_h,0.0122235175,0.0034765648,0.0,0.015700083
21_-102,0.014354787,0.0013438644,0.0,0.01569865
-11_-121_h,0.010035571,0.005660564,0.0,0.015696134
-1_-99_v,0.010028233,0.0056665456,0.0,0.015694778
19_-128,0.014300153,0.0013901644,0.0,0.015690317
-11_-101,0.010679287,0.005009826,0.0,0.015689112
14_-130_vh,0.0121125365,0.0035690276,0.0,0.015681565
24_-123_h,0.009320169,0.006349867,0.0,0.015670035
4_-123,0.01189978,0.003769211,0.0,0.01566899
0_159_vh,0.01206473,0.0036014835,0.0,0.015666213
12_172,0.009769875,0.005892487,0.0,0.015662361
14_-111_h,0.013339618,0.0023195185,0.0,0.015659137
12_-107_h,0.012925318,0.0027299016,0.0,0.01565522
11_-99_vh,0.012886328,0.0027686069,0.0,0.015654935
4_-103_vh,0.012271895,0.0033824416,0.0,0.015654337
21_-96,0.010876945,0.004766129,0.0,0.015643075
6_-112_vh,0.012842337,0.0027950695,0.0,0.015637405
-6_-91,0.012941633,0.002695134,0.0,0.015636768
-8_-116_v,0.01354585,0.0020835458,0.0,0.015629396
-10_-97_vh,0.0111559145,0.0044723977,0.0,0.015628312
4_-108_vh,0.013882644,0.00174539,0.0,0.015628034
-25_-96_vh,0.008513498,0.0071137273,0.0,0.015627226
18_-121_vh,0.011969581,0.0036567026,0.0,0.015626283
24_-127_h,0.012159801,0.003464161,0.0,0.0156239625
13_-102,0.011125643,0.0044893217,0.0,0.015614964
10_160_h,0.0102405315,0.0053717233,0.0,0.015612255
3_178,0.0098575605,0.005750648,0.0,0.015608208
8_-101_h,0.012702978,0.00290392,0.0,0.015606898
24_-95_h,0.009483879,0.0061216936,0.0,0.015605573
0_-112,0.011984651,0.0036205153,0.0,0.015605167
26_-110_h,0.011266909,0.004335878,0.0,0.015602786
9_-94_h,0.011012482,0.00458782,0.0,0.015600302
15_-112_v,0.0104891155,0.00510948,0.0,0.015598595
3_-129,0.012403622,0.0031910834,0.0,0.015594706
15_-100_v,0.014367314,0.0012248349,0.0,0.0155921485
21_-99_v,0.010773654,0.004814311,0.0,0.015587965
10_179,0.010329755,0.005256236,0.0,0.015585991
24_-113_h,0.010062376,0.0055181747,0.0,0.015580551
14_-103_vh,0.0117576,0.0038136884,0.0,0.015571289
-3_-111,0.013903347,0.0016665094,0.0,0.015569856
-24_-127_h,0.009740619,0.005822724,0.0,0.015563343
16_-97,0.010622399,0.004936595,0.0,0.015558993
11_173_vh,0.013454184,0.0021009105,0.0,0.015555095
-13_-114,0.007330446,0.008224437,0.0,0.015554883
-9_-135_h,0.011761725,0.0037906275,0.0,0.015552352
-4_-100,0.008143667,0.0074068895,0.0,0.015550557
-3_-100_h,0.009391724,0.006153464,0.0,0.0155451875
-27_-106,0.009745397,0.005799354,0.0,0.015544751
21_-109_vh,0.013028341,0.0025066333,0.0,0.015534975
-16_-122_v,0.01021871,0.0053125196,0.0,0.015531229
16_162_h,0.009169988,0.006358615,0.0,0.015528603
5_-101,0.013000089,0.002527537,0.0,0.015527626
-18_-108_v,0.012329415,0.0031965098,0.0,0.015525925
3_-132_vh,0.012162134,0.003362182,0.0,0.015524317
4_146_h,0.012385232,0.0031343675,0.0,0.0155196
-11_-98_h,0.010681393,0.004836753,0.0,0.015518146
24_-108_h,0.011123146,0.0043860953,0.0,0.015509241
7_-104_h,0.014317502,0.0011877291,0.0,0.015505231
12_-107_v,0.013149138,0.0023556557,0.0,0.015504793
-10_-108_v,0.010629687,0.0048664417,0.0,0.015496129
-14_-116,0.01095819,0.004537221,0.0,0.015495411
-2_-123_v,0.010327128,0.0051682238,0.0,0.0154953515
7_-108_vh,0.013522553,0.0019665495,0.0,0.015489103
-1_-122_vh,0.013495547,0.0019813362,0.0,0.015476882
22_-104_h,0.010954879,0.004510948,0.0,0.015465828
-8_-124_vh,0.013892277,0.0015728766,0.0,0.015465153
3_158_v,0.011770614,0.0036934274,0.0,0.015464041
21_167_v,0.010855286,0.0046041687,0.0,0.015459456
-4_-100_h,0.0084709795,0.006988088,0.0,0.015459068
16_-118,0.00822659,0.0072318874,0.0,0.015458478
3_153,0.01167953,0.0037757508,0.0,0.015455281
17_-103,0.009880096,0.0055702645,0.0,0.01545036
-11_-97_vh,0.01112598,0.0043196776,0.0,0.015445657
23_-122,0.012905354,0.002531322,0.0,0.015436675
2_-96_h,0.011948229,0.0034867497,0.0,0.0154349785
12_-127_vh,0.0117123965,0.0037177007,0.0,0.0154300975
8_-92_v,0.012505338,0.0029201433,0.0,0.015425481
-9_-100_vh,0.00923667,0.006187648,0.0,0.015424319
-13_-128_v,0.010471431,0.004952388,0.0,0.0154238185
4_-123_vh,0.012030388,0.003391594,0.0,0.015421982
23_-98_v,0.0099061,0.005510738,0.0,0.015416838
1_-100_vh,0.013573447,0.0018410814,0.0,0.015414529
-8_-123_vh,0.009811102,0.005602987,0.0,0.015414089
-16_-108_h,0.0101397075,0.0052739033,0.0,0.01541361
3_-133_h,0.01149328,0.0039182315,0.0,0.015411511
18_-103_v,0.012425373,0.0029803638,0.0,0.015405737
10_163_vh,0.010534646,0.004870054,0.0,0.015404699
0_-112_h,0.012700709,0.0027027612,0.0,0.01540347
-1_155_v,0.010067948,0.0053203604,0.0,0.015388308
14_-99,0.012421853,0.0029607962,0.0,0.015382649
20_-97,0.009509029,0.0058707423,0.0,0.015379772
27_-114_h,0.009453885,0.0059235576,0.0,0.015377443
22_-110,0.010501531,0.004868254,0.0,0.015369785
-15_-127_h,0.011903621,0.0034656965,0.0,0.0153693175
22_-104_vh,0.010843996,0.0045251395,0.0,0.015369136
3_153_vh,0.011147675,0.004209704,0.0,0.015357379
-12_-125_v,0.012927192,0.0024258848,0.0,0.015353077
8_169_v,0.014086984,0.00126173,0.0,0.015348714
-2_167_h,0.013752318,0.0015962541,0.0,0.015348572
27_-129_v,0.012750057,0.0025960733,0.0,0.01534613
5_-104_h,0.01301797,0.0023260862,0.0,0.015344056
10_-132_h,0.0142465,0.0010933126,0.0,0.015339812
-21_-124_v,0.01412151,0.0012178767,0.0,0.015339387
3_-113,0.011142566,0.004189265,0.0,0.015331831
3_175_h,0.013879853,0.0014397975,0.0,0.015319651
6_-111,0.012819889,0.002498358,0.0,0.015318247
5_162_v,0.010892168,0.004418715,0.0,0.015310883
-25_-96_h,0.007899489,0.0074018957,0.0,0.015301385
-5_-104_h,0.012270524,0.003027667,0.0,0.015298191
-27_-107_vh,0.011072996,0.0042224736,0.0,0.01529547
-1_159_vh,0.009231694,0.0060484465,0.0,0.015280141
27_-114_v,0.01078946,0.0044838516,0.0,0.015273311
5_-113,0.011038828,0.0042313756,0.0,0.015270203
-7_-116_v,0.0140386,0.0012275216,0.0,0.015266121
16_-106,0.011422726,0.003839222,0.0,0.015261948
-1_162_h,0.009677777,0.005583397,0.0,0.015261174
10_-124_v,0.012193717,0.003066105,0.0,0.015259822
16_-111_v,0.01156289,0.0036868444,0.0,0.015249735
-22_-114,0.0075995023,0.007641533,0.0,0.015241035
-22_-108,0.008568796,0.006666183,0.0,0.015234979
15_-131_v,0.011986474,0.0032461232,0.0,0.015232597
16_-106_h,0.012383223,0.0028439553,0.0,0.015227178
3_-131_v,0.013039263,0.0021850877,0.0,0.015224351
7_-125_h,0.007605477,0.007613531,0.0,0.015219008
-8_-116_vh,0.013185158,0.0020325792,0.0,0.015217737
2_-119_vh,0.012770793,0.0024359212,0.0,0.015206715
21_-96_h,0.011260358,0.003942305,0.0,0.015202663
27_-120_h,0.010313565,0.004888364,0.0,0.015201929
-13_-109_h,0.010276479,0.0049223234,0.0,0.015198803
24_-125_v,0.011063061,0.0041262507,0.0,0.0151893115
-18_-131,0.011992336,0.003190785,0.0,0.015183121
6_172,0.013156364,0.002023544,0.0,0.015179908
3_149,0.008896164,0.0062819114,0.0,0.015178075
