img,box,obj,cls,loss
-24_-109_h,0.013638072,0.008442117,0.0,0.022080189
-1_-125_h,0.019158598,0.0029165242,0.0,0.022075122
-2_-91,0.0116773145,0.010397424,0.0,0.022074739
-1_-132_v,0.014814672,0.0072559374,0.0,0.022070609
-8_-99,0.010570485,0.011491343,0.0,0.022061829
-5_-107_v,0.0114014335,0.010650129,0.0,0.022051562
6_176_v,0.017075485,0.0049733487,0.0,0.022048833
-11_-131_v,0.015991108,0.0060572755,0.0,0.022048384
3_-122_vh,0.0116026765,0.010443743,0.0,0.02204642
-5_-110_v,0.014851033,0.007193616,0.0,0.02204465
-15_-118_v,0.015207358,0.0068241246,0.0,0.022031482
27_-110,0.01296238,0.009068619,0.0,0.022031
-1_-132_h,0.016240716,0.0057674535,0.0,0.02200817
-9_-103,0.010375693,0.011628578,0.0,0.022004273
-19_-102_h,0.0155282235,0.006472231,0.0,0.022000454
-11_-131,0.015744193,0.006251359,0.0,0.021995552
22_-119_v,0.01472678,0.00726814,0.0,0.02199492
19_-132_vh,0.014984975,0.007001413,0.0,0.021986388
24_-106_vh,0.014032659,0.007951869,0.0,0.021984529
-25_-117_h,0.013095676,0.008869342,0.0,0.021965018
20_-122,0.018733026,0.0032249733,0.0,0.021958
-19_-94_vh,0.010388179,0.01156329,0.0,0.021951469
-13_-101,0.013110011,0.008840016,0.0,0.021950027
-5_-110_h,0.014510775,0.0074257837,0.0,0.021936558
-17_-94_h,0.014971988,0.006963891,0.0,0.02193588
-4_-106,0.0120838005,0.009850422,0.0,0.021934222
-28_-107_vh,0.008647393,0.013286662,0.0,0.021934055
23_-101_h,0.012791869,0.009134529,0.0,0.0219264
-2_-100_h,0.012472912,0.009453387,0.0,0.021926299
-25_-126,0.010515779,0.011408737,0.0,0.021924516
-7_-112_h,0.010726694,0.0111871045,0.0,0.021913799
10_-103_h,0.015341382,0.0065683043,0.0,0.021909686
19_-122_vh,0.013057894,0.00884884,0.0,0.021906734
-2_167_h,0.017493896,0.0044089695,0.0,0.021902867
-8_-101_vh,0.009950471,0.011952055,0.0,0.021902526
-5_-110_vh,0.014251639,0.0076506077,0.0,0.021902246
-12_-109_h,0.011271211,0.010629903,0.0,0.021901114
23_-101_v,0.014257888,0.0076329024,0.0,0.021890791
-1_-134_h,0.016047478,0.0058206394,0.0,0.021868117
-6_173_v,0.018809034,0.0030550899,0.0,0.021864124
-29_-105,0.014087754,0.007770646,0.0,0.0218584
23_-104_h,0.015874067,0.005982313,0.0,0.02185638
-20_-96,0.010502005,0.011354171,0.0,0.021856176
-5_-117_h,0.016915051,0.004940134,0.0,0.021855185
-14_-111_v,0.009435315,0.012418847,0.0,0.021854162
-5_-97,0.011304096,0.010540708,0.0,0.021844804
20_-111_vh,0.012250346,0.009577992,0.0,0.021828339
16_-114_h,0.013046645,0.008775749,0.0,0.021822393
-6_-99_v,0.014045984,0.0077719586,0.0,0.021817941
26_-103,0.01150117,0.010307387,0.0,0.021808557
-8_-101_v,0.010013607,0.01178586,0.0,0.021799468
-8_-101,0.009799418,0.011999073,0.0,0.021798491
-1_-103,0.010492084,0.011306067,0.0,0.02179815
-13_-110_h,0.015224861,0.0065679546,0.0,0.021792816
-5_-99,0.015009216,0.006777063,0.0,0.02178628
15_-119_h,0.014504874,0.007271693,0.0,0.021776568
7_-94,0.01454057,0.007235226,0.0,0.021775797
4_157_vh,0.018032465,0.0037414248,0.0,0.02177389
-13_-108_v,0.016271764,0.0055019213,0.0,0.021773685
20_-104_v,0.018541265,0.0032280623,0.0,0.021769328
3_-124_v,0.012065819,0.009693474,0.0,0.021759294
-7_-111_v,0.010678472,0.011077156,0.0,0.021755628
9_-125_vh,0.011042809,0.010705946,0.0,0.021748755
-5_-103,0.01580506,0.005939508,0.0,0.021744568
-7_-109_v,0.012533641,0.009205708,0.0,0.021739349
-15_-105_v,0.010672863,0.011049488,0.0,0.02172235
1_-122_v,0.015512392,0.0062075043,0.0,0.021719895
-5_-99_v,0.01464829,0.0070680208,0.0,0.021716312
24_-101_v,0.010899602,0.010813285,0.0,0.021712888
29_-112,0.018361745,0.0033423891,0.0,0.021704134
2_-94_vh,0.015399209,0.006295829,0.0,0.021695038
19_-132,0.01297041,0.0087222075,0.0,0.021692619
-25_-117_vh,0.013284273,0.008405085,0.0,0.02168936
-4_-101_h,0.011143299,0.010540029,0.0,0.021683328
-1_-105_vh,0.017768065,0.003908074,0.0,0.021676138
20_-114_vh,0.013080425,0.008590604,0.0,0.021671029
6_-101_vh,0.01936453,0.0023055174,0.0,0.021670047
28_-122_h,0.011816795,0.0098532345,0.0,0.021670029
13_-99_vh,0.014025432,0.007638194,0.0,0.021663627
1_-122,0.01682234,0.004837371,0.0,0.021659711
-8_-100_h,0.014018498,0.007634763,0.0,0.021653261
22_-104_v,0.013658727,0.007992219,0.0,0.021650946
5_-113,0.01655428,0.0050962684,0.0,0.021650547
-8_-99_vh,0.0093886545,0.012257404,0.0,0.021646058
8_-117,0.01669019,0.0049522445,0.0,0.021642435
21_-111_h,0.00939995,0.012230972,0.0,0.02163092
5_-122_h,0.015968919,0.005658969,0.0,0.021627888
5_-122,0.01639047,0.0052347216,0.0,0.021625193
6_149,0.019758081,0.0018524572,0.0,0.021610538
20_-132_v,0.017217627,0.0043881717,0.0,0.021605799
-7_-108,0.012567505,0.009033851,0.0,0.021601357
24_-122_vh,0.011973571,0.009625126,0.0,0.021598697
-8_-105_h,0.011955221,0.009640947,0.0,0.021596167
6_-123_h,0.0130788805,0.008511079,0.0,0.021589959
28_-101,0.013755891,0.007822898,0.0,0.021578789
4_163_h,0.017251229,0.004327321,0.0,0.02157855
-13_-112_v,0.015165016,0.006413102,0.0,0.021578118
-13_-110,0.015520975,0.006055421,0.0,0.021576397
-28_-101_h,0.01170515,0.009868177,0.0,0.021573327
-27_-134,0.0145526305,0.007018154,0.0,0.021570785
2_164,0.019344935,0.0022246442,0.0,0.02156958
20_-123_h,0.019642612,0.0019051861,0.0,0.021547798
-13_-108_h,0.01580855,0.0057377173,0.0,0.021546267
-23_-113_vh,0.01435708,0.0071874494,0.0,0.02154453
3_-124_h,0.011888459,0.009646001,0.0,0.021534462
-28_-107_h,0.009469158,0.01205676,0.0,0.021525918
6_172_vh,0.018852422,0.0026719465,0.0,0.021524368
-2_167,0.019768473,0.0017536792,0.0,0.021522151
-22_-109_vh,0.012925269,0.008595097,0.0,0.021520365
-10_-93_vh,0.010964673,0.010546622,0.0,0.021511294
25_-101_h,0.015356262,0.0061467406,0.0,0.021503003
-9_-100,0.012331873,0.009170796,0.0,0.02150267
-4_-108,0.011118636,0.010362213,0.0,0.021480847
22_-122_v,0.015046895,0.0064304955,0.0,0.02147739
6_-101_v,0.019243978,0.0022259133,0.0,0.021469891
26_-125_h,0.010528359,0.010936528,0.0,0.021464888
-16_-128,0.013573346,0.007874574,0.0,0.02144792
15_-111_h,0.017047187,0.004397353,0.0,0.02144454
-7_-112,0.011708314,0.009733295,0.0,0.021441609
-8_-130_vh,0.01690876,0.0045302594,0.0,0.02143902
-25_-117_v,0.012628554,0.00880393,0.0,0.021432485
8_-95,0.015463017,0.0059526106,0.0,0.021415628
-17_-94_vh,0.014952372,0.0064618248,0.0,0.021414196
-12_-112_v,0.012412474,0.008999937,0.0,0.02141241
-16_-104,0.0126493005,0.008759312,0.0,0.021408614
0_169_h,0.01728078,0.0041224193,0.0,0.021403199
8_174,0.018555453,0.002846313,0.0,0.021401767
